UID	11RosaH	12RosaH	14RosaF	16RosaF	17Rosa-	18Rosa-	8RosaH	9RosaH	CAG-14914	CAG-14915	CMP	GMP	Gfi1.Null	Irf8.Null	LSK
Il17rb	1.669026766	1.09085343	1.09085343	1.321928095	0.411426246	2.411426246	0.333423734	0.748461233	0.669026766	2.372952098	4.089159132	3.861955364	2.321928095	2.889473543	3.005399988
Il17rc	0.111031312	0.097610797	0.176322773	0.275007047	0	0.298658316	0	0	0.150559677	0	0.084064265	0.097610797	0.042644337	0.163498732	2.03562391
Il17rd	0	0.042644337	0	0	0	0.042644337	0.014355293	0.028569152	0	0	0	0	0	0.014355293	0
Il17re	0.389566812	0.111031312	0.189033824	0.214124805	0	0	0	0	0	0.454175893	0.137503524	0.23878686	0.042644337	0	4.498250868
Il18	0.584962501	0.704871964	1.575312331	0.286881148	2.641546029	0	3.016139703	2.72900887	4.915520901	0.970853654	0.757023247	1.350497247	1.124328135	1.275007047	4.944858446
Il18bp	3.097610797	2.837943242	2.543495883	3.600507645	3.145677455	4.037382222	2.10433666	2.543495883	1.82374936	3.625270489	1.981852653	2.304511042	1.687060688	2.659924558	2.944858446
Il18r1	0.516015147	0.678071905	0.263034406	0.815575429	0.855989697	1.655351829	0.310340121	0.23878686	0.150559677	1.117695043	0.163498732	0.411426246	0.056583528	0.111031312	2.924099886
Il18rap	3.495695163	3.592158002	3.699329526	3.241840184	4.152183419	4.454175893	3.759155834	3.502075956	3.765534746	4.952799478	3.007195501	3.601696516	2.813524689	2.895302621	5.241840184
Il19	0	0	0	0	0	0	0.250961574	0	0.333423734	0	0	0	0	0.070389328	0
Il1a	0.250961574	0.555816155	0	0.286881148	1.182692298	1.137503524	0.124328135	0	0.454175893	2.204766751	0.111031312	0	0	0	0.526068812
Il1b	1.480265122	3.053111336	1.195347598	1.952333566	3.112700133	2.632268215	0.641546029	0	3.463360886	3.295723025	0.22650853	0.263034406	0.35614381	0.056583528	0
Il1bos	1.182692298	1.970853654	0	1.443606651	0	0.475084883	0	0	0	1.807354922	0	0	0	0	0.321928095
Il1f10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
